X,Y,Z
ft,ft,ft
167.998727,66.5,-0.783532
168.249026,66.5,-0.743136
168.499334,66.5,-0.701342
168.749689,66.5,-0.653256
168.999983,66.5,-0.613535
169.250139,66.5,-0.592802
169.500523,66.5,-0.540558
169.750831,66.5,-0.498916
170.001189,66.5,-0.450404
170.251526,66.5,-0.404628
170.50186,66.5,-0.359342
170.752386,66.5,-0.287517
171.002483,66.5,-0.274981
171.252791,66.5,-0.233305
171.502279,66.5,-0.304995
171.751954,66.5,-0.350877
172.001614,66.5,-0.398808
172.251278,66.5,-0.446194
172.500939,66.5,-0.49402
172.750596,66.5,-0.542291
173.000234,66.5,-0.593225
173.249954,66.5,-0.632817
173.499628,66.5,-0.678836
173.749374,66.5,-0.714926
173.999076,66.5,-0.757035
174.248762,66.5,-0.801323
174.498509,66.5,-0.837168
174.748127,66.5,-0.890963
174.997784,66.5,-0.939266
175.247704,66.5,-0.951176
175.497626,66.5,-0.962898
175.747552,66.5,-0.97395
175.997485,66.5,-0.984121
176.247415,66.5,-0.994751
176.497357,66.5,-1.003697
176.747292,66.5,-1.013607
176.997281,66.5,-1.015954
177.247264,66.5,-1.019283
177.497224,66.5,-1.025645
177.747207,66.5,-1.029
177.997184,66.5,-1.033024
178.247192,66.5,-1.032898
178.497201,66.5,-1.032449
178.747218,66.5,-1.031074
178.997236,66.5,-1.029446
179.247789,66.5,-0.953901
179.497935,66.5,-0.934582
179.748199,66.5,-0.898985
179.998253,66.5,-0.892503
180.248627,66.5,-0.841635
180.498991,66.5,-0.792195
180.749037,66.5,-0.786724
180.998981,66.5,-0.795387
181.24876,66.5,-0.826817
181.498526,66.5,-0.860125
181.748318,66.5,-0.889763
181.99811,66.5,-0.919495
182.247891,66.5,-0.950654
182.497676,66.5,-0.981285
182.747484,66.5,-1.008673
182.997312,66.5,-1.033421
183.246973,66.5,-1.08122
183.496824,66.5,-1.102723
183.74667,66.5,-1.124922
183.996573,66.5,-1.139203
184.246367,66.5,-1.168623
184.496094,66.5,-1.207263
184.746425,66.5,-1.162327
184.996398,66.5,-1.167027
185.246389,66.5,-1.169241
185.496421,66.5,-1.165653
185.746517,66.5,-1.153339
185.99661,66.5,-1.141293
186.246703,66.5,-1.129391
186.496799,66.5,-1.117006
186.746861,66.5,-1.109293
186.99693,66.5,-1.100705
187.24703,66.5,-1.087741
187.497103,66.5,-1.078527
187.747171,66.5,-1.070104
187.997176,66.5,-1.070334
188.247285,66.5,-1.056086
188.497303,66.5,-1.054495
188.747326,66.5,-1.05233
188.997351,66.5,-1.049687
189.247391,66.5,-1.04513
189.497486,66.5,-1.03286
189.747447,66.5,-1.039181
189.99743,66.5,-1.042391
190.247477,66.5,-1.036758
190.497644,66.5,-1.014625
190.747688,66.5,-1.00947
190.997854,66.5,-0.987399
191.248029,66.5,-0.96417
191.49811,66.5,-0.953766
191.748266,66.5,-0.933136
191.998407,66.5,-0.914569
192.248555,66.5,-0.89497
192.49867,66.5,-0.880012
192.748713,66.5,-0.874942
192.99873,66.5,-0.873484
193.248746,66.5,-0.872232
193.498779,66.5,-0.868603
193.748765,66.5,-0.871342
193.99879,66.5,-0.868816
194.248781,66.5,-0.871039
194.498777,66.5,-0.872496
194.748766,66.5,-0.874883
194.998614,66.5,-0.896764
195.248589,66.5,-0.901178
195.498469,66.5,-0.918701
195.748561,66.5,-0.906798
195.998412,66.5,-0.928391
196.248331,66.5,-0.940478
196.498287,66.5,-0.94736
196.747933,66.5,-0.997281
